id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
177,0xB1,Adapt:CurrLimitStop,RWs,uint,A,1000,0.5,30,Current limit at Adapt:StopFreq; must stay below the current at which the hardware peak comparator fires,,8/10.5/17.0,admin
178,0xB2,Adapt:CurrLimitBend,RWs,int,-,1,-1000,1000,Bend for current limit curve [>0: limit rises to Stop quickly at low freq],,700,admin
179,0xB3,Adapt:CurrHyst,RWs,uint,A,1000,0.05,5,Current gate release hysteresis below Adapt:CurrLimit,,0.5,admin
180,0xB4,Adapt:VdcLow,RWs,uint,V,10,300,700,DC-bus voltage below which acceleration ramp is stretched (see Adapt:VdcHigh),,550.0,admin
181,0xB5,Adapt:VdcHigh,RWs,uint,V,10,300,800,DC-bus voltage above which deceleration ramp is stretched (see Adapt:VdcLow),,640.0,admin
182,0xB6,Adapt:VdcHyst,RWs,uint,V,10,1,50,Bus gate release hysteresis (both directions),,5.0,admin
183,0xB7,Adapt:ExciteStart,RWs,uint,A,1000,0,10,Reactive current reference at 0Hz for the excitation trim,,0.0,admin
184,0xB8,Adapt:ExciteStop,RWs,uint,A,1000,0,10,Reactive current reference at Adapt:StopFreq,,0.0,admin
185,0xB9,Adapt:ExciteBend,RWs,int,-,1,-1000,1000,Bend for the reactive current reference curve,,0,admin
186,0xBA,Adapt:DampGain,RWs,uint,%,100,0,500,Hunting damper gain [0:off],,0.0,admin
196,0xC4,Stall:CurrStart,RWs,uint,A,1000,0,30,Stall current threshold at 0Hz,,4.5/9.5/10.0,service
197,0xC5,Stall:CurrStop,RWs,uint,A,1000,0,30,Stall current threshold at Stall:StopFreq,,4.0/8.5/9.0,service
198,0xC6,Stall:StopFreq,RWs,uint,Hz,100,0,200,Locked-rotor detection disabled above this frequency (also bend x_max) [0:off],,15.0,service
199,0xC7,Stall:Bend,RWs,int,-,1,-1000,1000,Bend for stall current threshold curve,,0,service
